Algo,Vers,Args,Dataset,Seed,Score,Train,Test,Dur,Model
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,762838704,0.144101288,0.144101288,908.578,(2*B2+9)+(26*B2-17)/((16*B2+1)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,241406868,0.14410196,0.14410196,901.857,(114)+(11*B2+35)/((-16*B2-233)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,609356994,0.144102604,0.144102604,983.227,(-22)+(-25*B2-4)/((17*B2)+(10)/((14*B2+10))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,210400242,0.144102915,0.144102915,946.944,(2*B2+8)+(9*B2+12)/((-16*B2-1)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,887220396,0.144104005,0.144104005,1016.488,(-22)+(23)/((-7*B2)+(10)/((-4*B2-21))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,545569627,0.144104558,0.144104558,943.437,(25*B2-14)+(7*B2+18)/((8*B2+1)+()/((1)+(-12*B2)/((24*B2)+(10*B2)/((22*B2))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,822969669,0.144105205,0.144105205,949.766,(5)+(-7*B2)/((-12*B2)+(-34*B2)/((-2)+(-13)/((-B2)))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,746126019,0.144105328,0.144105328,906.024,(-12)+(-B2)/((B2)+(-55*B2+30)/((-4*B2-3))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,555568272,0.144108377,0.144108377,976.197,(3)+(28*B2-1)/((18*B2)+(24*B2-14)/((-24*B2-14))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,554427394,0.144108558,0.144108558,905.068,(12)+(5*B2+17)/((-B2+3)+(16*B2+17)/((-B2-2))),
